subject_id,lesson_id,seq,audio_file,text,est_sec
1,1-1,001,1-1-001.mp3,"足場の組立て等の業務に係る特別教育、科目一、足場及び作業の方法に関する知識を始めます。",9
1,1-1,002,1-1-002.mp3,"この科目は三時間あり、四つの単元に分かれています。",5
1,1-1,003,1-1-003.mp3,"最初の単元では、足場の種類、材料、構造、そして組立図について学びます。",7
1,1-1,004,1-1-004.mp3,"皆さんが毎日さわっている材料に、どんな決まりがあるのか。なぜその形をしているのか。",8
1,1-1,005,1-1-005.mp3,"それを知っているかどうかで、現場での判断が変わります。",5
1,1-1,006,1-1-006.mp3,"まずは、足場とは何か、というところから始めます。",5
1,1-1,007,1-1-007.mp3,"足場の組立てとは、単体の仮設機材を複数組み合わせて、作業足場などの仮設構造物を完成させることをいいます。",10
1,1-1,008,1-1-008.mp3,"組み合わせて構造物にする、というところが要点です。",5
1,1-1,009,1-1-009.mp3,"ですから、うま足場や脚立足場も、複数の機材を組み合わせて作れば、足場に含まれます。",8
1,1-1,010,1-1-010.mp3,"一方で、軽量作業台やアルミニウム合金製の可搬式作業台のように、単独の機材を置いて使う場合は、足場の組立てには含まれません。",12
1,1-1,011,1-1-011.mp3,"この区別は、特別教育が必要かどうかにも関わってきます。",5
1,1-1,012,1-1-012.mp3,"自分がこれから行う作業が、足場の組立てにあたるのかどうか。まずそこを意識してください。",9
1,1-1,013,1-1-013.mp3,"そして足場は、そこで作業する人だけのものではありません。",6
1,1-1,014,1-1-014.mp3,"後から塗装や左官、板金の職人が乗ります。近所の人がその下を歩きます。",7
1,1-1,015,1-1-015.mp3,"自分が組んだ足場に、明日は誰が乗るのか。それを考えられるかどうかが、職人の分かれ目になります。",9
1,1-1,016,1-1-016.mp3,"足場に求められる条件は、大きく三つあります。安全性、作業性、経済性です。",7
1,1-1,017,1-1-017.mp3,"一つ目の安全性。これは二つの意味があります。",4
1,1-1,018,1-1-018.mp3,"一つは、各種の荷重に対して壊れないこと。人の重さ、材料の重さ、風の力、地震の揺れに耐えることです。",10
1,1-1,019,1-1-019.mp3,"もう一つは、墜落と飛来落下を防げること。手すりや幅木といった設備が備わっていることです。",9
1,1-1,020,1-1-020.mp3,"強度があっても、囲いがなければ人は落ちます。両方そろって初めて安全といえます。",8
1,1-1,021,1-1-021.mp3,"二つ目の作業性。作業をするうえで十分な床面積があること。",6
1,1-1,022,1-1-022.mp3,"そして、現場での加工が要らず、設置と撤去が速いことです。",6
1,1-1,023,1-1-023.mp3,"床が狭ければ、人は無理な姿勢をとります。無理な姿勢が墜落につながります。",7
1,1-1,024,1-1-024.mp3,"作業性は、快適さの話ではなく、安全の話でもあるということです。",6
1,1-1,025,1-1-025.mp3,"三つ目の経済性。耐用年数が長く、足場として必要十分な性能を持っていること。",7
1,1-1,026,1-1-026.mp3,"安ければよい、というものではありません。傷んだ材料を使い続けることは、経済性ではなく危険です。",9
1,1-1,027,1-1-027.mp3,"この三つの条件を、場所と目的と用途に合わせて満たすこと。それが足場を選ぶということです。",9
1,1-1,028,1-1-028.mp3,"では、足場の種類を見ていきます。",3
1,1-1,029,1-1-029.mp3,"足場は、使用形態から大きく二つに分かれます。屋内作業用と、屋外作業用です。",7
1,1-1,030,1-1-030.mp3,"まず屋内作業用から。",2
1,1-1,031,1-1-031.mp3,"脚立足場は、脚立を二台以上並べて、その上に足場板を渡したものです。",7
1,1-1,032,1-1-032.mp3,"天井の内装工事や設備工事など、比較的低い高さの作業で使われます。",6
1,1-1,033,1-1-033.mp3,"簡単に組めるぶん、事故も多い足場です。脚立の開き止めを確実にかけること。",7
1,1-1,034,1-1-034.mp3,"足場板は、両端が十分にかかるようにし、跳ね上がらないよう固定すること。",7
1,1-1,035,1-1-035.mp3,"そして、脚立の天板の上には乗らないこと。この三つは徹底してください。",7
1,1-1,036,1-1-036.mp3,"うま足場も、考え方は同じです。うまと呼ぶ架台の上に足場板を渡します。",7
1,1-1,037,1-1-037.mp3,"ローリングタワーは、脚にキャスターの付いた移動式の足場です。",6
1,1-1,038,1-1-038.mp3,"高い位置での点検や設備工事に使われますが、移動できることが弱点にもなります。",8
1,1-1,039,1-1-039.mp3,"作業中は必ずキャスターを固定すること。人を乗せたまま移動しないこと。",7
1,1-1,040,1-1-040.mp3,"そして、アウトリガーを張り出して、転倒しないようにすることです。",6
1,1-1,041,1-1-041.mp3,"可搬式作業台は、いわゆる立ち馬です。手すり付きのものも増えています。",7
1,1-1,042,1-1-042.mp3,"単独で置いて使うぶんには足場の組立てにはあたりませんが、上で作業する危険は同じです。",8
1,1-1,043,1-1-043.mp3,"天板の上で背伸びをする、体を大きく乗り出す。この二つが転落の原因になります。",8
1,1-1,044,1-1-044.mp3,"次に、屋外作業用の足場です。代表的なものが三つあります。",6
